Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,25-34,inactive,ad,4890,9727,1.98916155,7-day click or 1-day view,quoteReceived,11,77.22157062,7.02014278,09/05/2024,30/04/2025,24,3.21756544,7.93888872,0.87385628,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,female,25-34,inactive,ad,4104,7508,1.8294347,7-day click or 1-day view,quoteReceived,8,65.7443254,8.21804067,09/05/2024,30/04/2025,26,2.5286279,8.75656971,1.02557272,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,35-44,inactive,ad,3839,7307,1.90336025,7-day click or 1-day view,quoteReceived,7,73.46198101,10.49456872,09/05/2024,30/04/2025,25,2.93847924,10.05364459,0.84850144,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,female,35-44,inactive,ad,3694,6682,1.80887926,7-day click or 1-day view,quoteReceived,5,75.74889666,15.14977933,09/05/2024,30/04/2025,33,2.29542111,11.3362611,1.10745286,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,female,25-34,inactive,ad,2416,3849,1.59312914,7-day click or 1-day view,quoteReceived,3,49.41382289,16.4712743,09/05/2024,30/04/2025,24,2.05890929,12.83809376,1.94855807,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,female,35-44,inactive,ad,2438,3848,1.5783429,7-day click or 1-day view,quoteReceived,8,64.78190176,8.09773772,09/05/2024,30/04/2025,31,2.08973877,16.83521355,1.87110187,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,female,25-34,inactive,ad,2018,3002,1.4876115,7-day click or 1-day view,quoteReceived,2,27.9840251,13.99201255,09/05/2024,30/04/2025,8,3.49800314,9.32179384,0.73284477,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,female,25-34,inactive,ad,2015,2774,1.37667494,7-day click or 1-day view,quoteReceived,2,22.26,11.13,09/05/2024,30/04/2025,7,3.18,8.02451334,1.00937275,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,female,35-44,inactive,ad,1714,2676,1.56126021,7-day click or 1-day view,quoteReceived,2,30.44262159,15.2213108,09/05/2024,30/04/2025,10,3.04426216,11.37616652,1.23318386,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,35-44,active,ad,1375,2173,1.58036364,7-day click or 1-day view,,,20.19,,09/05/2024,30/04/2025,13,1.55307692,9.29130235,1.19650253,01/02/2025,28/02/2025
