"Campaign name","Ad set name","Ad name",Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result Type",Results,"Amount spent (GBP)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Reporting starts","Reporting ends"
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,25-34,active,ad,6808,17414,2.55787309,"7-day click or 1-day view",quoteReceived,12,130.81375632,10.90114636,2024-05-09,2025-04-30,48,2.72528659,7.51198784,0.91880096,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,35-44,active,ad,5412,14325,2.64689579,"7-day click or 1-day view",quoteReceived,5,155.78447335,31.15689467,2024-05-09,2025-04-30,54,2.88489765,10.87500687,0.991274,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,25-34,not_delivering,ad,3647,6069,1.66410749,"7-day click or 1-day view",quoteReceived,5,45.94,9.188,2025-03-02,Ongoing,28,1.64071429,7.56961608,0.95567639,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,25-34,not_delivering,ad,3317,5891,1.77600241,"7-day click or 1-day view",,,42.34587272,,2025-03-02,Ongoing,14,3.02470519,7.18823166,1.00152775,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,35-44,not_delivering,ad,2722,4557,1.67413666,"7-day click or 1-day view",quoteReceived,3,46.61,15.53666667,2025-03-02,Ongoing,16,2.913125,10.22822032,0.76804916,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,35-44,not_delivering,ad,2570,4556,1.77276265,"7-day click or 1-day view",quoteReceived,1,42.09589709,42.09589709,2025-03-02,Ongoing,12,3.50799142,9.23966134,1.27304653,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,35-44,active,ad,1316,2730,2.07446809,"7-day click or 1-day view",quoteReceived,3,45.22028435,15.07342812,2024-05-09,2025-04-30,12,3.76835703,16.56420672,0.87912088,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",PLUM||IFD-STOR-RL|IMG|sitting,female,25-34,inactive,ad,1834,2687,1.4651036,"7-day click or 1-day view",quoteReceived,1,19.05,19.05,2025-03-02,Ongoing,17,1.12058824,7.08969111,1.4142166,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,18-24,active,ad,1168,2555,2.1875,"7-day click or 1-day view",quoteReceived,2,12.3003532,6.1501766,2024-05-09,2025-04-30,7,1.75719331,4.81422826,1.21330724,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",PLUM||IFD-STOR-RL|IMG|sitting,female,35-44,inactive,ad,1750,2515,1.43714286,"7-day click or 1-day view",,,23.19,,2025-03-02,Ongoing,12,1.9325,9.22067594,1.59045726,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,25-34,active,ad,1259,2410,1.91421763,"7-day click or 1-day view",quoteReceived,4,31.14708371,7.78677093,2024-05-09,2025-04-30,15,2.07647225,12.92410113,0.87136929,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",UGC|IFD-STOR-RL|VID|Clip1,female,35-44,inactive,ad,1427,1936,1.35669236,"7-day click or 1-day view",,,29.21,,2025-03-02,Ongoing,19,1.53736842,15.08780992,2.32438017,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",UGC|IFD-STOR-RL|VID|Clip1,female,25-34,inactive,ad,1361,1784,1.31080088,"7-day click or 1-day view",,,20.78,,2025-03-02,Ongoing,18,1.15444444,11.64798206,1.9058296,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,25-34,active,ad,1208,1580,1.30794702,"7-day click or 1-day view",,,13.27,,2024-05-09,2025-04-30,6,2.21166667,8.39873418,0.82278481,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,25-34,active,ad,792,1539,1.94318182,"7-day click or 1-day view",quoteReceived,2,10.86031185,5.43015593,2024-05-09,2025-04-30,4,2.71507796,7.05673285,0.84470435,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,25-34,inactive,ad,1301,1514,1.16372022,"7-day click or 1-day view",,,12.03,,2024-05-09,2025-04-30,3,4.01,7.94583884,0.72655218,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,35-44,inactive,ad,995,1191,1.19698492,"7-day click or 1-day view",,,13.49,,2024-05-09,2025-04-30,5,2.698,11.32661629,1.25944584,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,35-44,active,ad,528,1144,2.16666667,"7-day click or 1-day view",quoteReceived,1,10.54030266,10.54030266,2024-05-09,2025-04-30,5,2.10806053,9.21355128,1.57342657,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,18-24,not_delivering,ad,694,1045,1.50576369,"7-day click or 1-day view",quoteReceived,1,5.64,5.64,2025-03-02,Ongoing,2,2.82,5.39712919,1.05263158,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,35-44,active,ad,745,957,1.28456376,"7-day click or 1-day view",,,11.82,,2024-05-09,2025-04-30,4,2.955,12.35109718,0.62695925,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,18-24,not_delivering,ad,626,931,1.48722045,"7-day click or 1-day view",quoteReceived,1,4.81953026,4.81953026,2025-03-02,Ongoing,3,1.60651009,5.17672423,1.07411386,2025-03-01,2025-03-31
