Campaign name,Ad set name,Ad name,Amount spent (GBP),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Purchases,Cost per purchase,Purchases conversion value,Purchase ROAS (return on ad spend),Adds to cart,Reporting starts,Reporting ends
,,,141158.75,35366271,3.99133824,545420,0.25880743,1.54220387,9089,15.53072395,350153.08,2.48056235,26156,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,SW | Advantage+ & LAL Sales | UK,SW | Advantage+ & LAL Sales | UK,SW | Advantage+ & LAL Sales | UK,773896,4.86720438,8653,0.43530683,1.11810889,162,23.2512963,6861.52,1.82162152,847,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,Video - August Set,2820.37,403869,6.98337827,5783,0.48770016,1.43189995,86,32.795,5952.16,2.11041814,887,2024-01-01,2024-12-31
Instagram post: A lingerie club for likeminded...,Instagram Post,Instagram post: A lingerie club for likeminded...,2480.00,762146,3.25396971,31669,0.07831002,4.1552406,,,,,,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Advantage Plus (Exc. Existing Customers),Video - August Set,2321.35,516478,4.49457673,4220,0.55008294,0.81707256,105,22.10809524,4834.56,2.08265018,629,2024-01-01,2024-12-31
Instagram post: A lingerie club for likeminded...,Instagram Post,Instagram post: A lingerie club for likeminded...,2268.57,570499,3.97646622,33897,0.06692539,5.94164056,31,73.17967742,937.7,0.41334409,,2024-01-01,2024-12-31
"Instagram post: In a year and a half later, we...",Instagram Post,"Instagram post: In a year and a half later, we...",2189.88,324837,6.74147342,20913,0.10471381,6.43799813,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: BEAUTY,VID - DONT SLEEP ON SMALL DETAILS - V3 - 394090130072807 – Copy,1883.92,431289,4.36811512,2432,0.77463816,0.56389103,142,13.26704225,5361.83,2.84610281,302,2024-01-01,2024-12-31
Instagram post: A lingerie club for likeminded...,Instagram Post,Instagram post: A lingerie club for likeminded...,1773.67,740175,2.39628466,27062,0.06554098,3.65616239,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,Video - Monthly Me-Time (flexible),1733.16,259159,6.68763192,2296,0.75486063,0.88594261,51,33.98352941,2879.86,1.66162385,372,2024-01-01,2024-12-31
Instagram post: Lingerie but with an unboxing...,Instagram Post,Instagram post: Lingerie but with an unboxing...,1674.00,563392,2.9712882,16000,0.104625,2.83994093,52,32.19230769,1728.65,1.03264636,,2024-01-01,2024-12-31
Instagram post: Lingerie but with an unboxing...,Instagram Post,Instagram post: Lingerie but with an unboxing...,1674.00,590480,2.83498171,18449,0.09073663,3.12440726,,,,,,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Interest: Lingerie & Stores,Dynamic Collection - Static 2 Hero – Copy,1663.31,349564,4.7582417,2348,0.70839438,0.67169388,70,23.76157143,3174.07,1.90828529,377,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,LAL CL 1-3%,VID - YOU NEVER RUN OUT OF LINGERIE - V5 - 365091696305984 – Copy 2,1593.02,605596,2.63049954,6769,0.23534052,1.11774186,136,11.71338235,6095.08,3.82611643,838,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,Video - Monthly Me-Time (flexible) – Copy,1506.54,484049,3.11237086,4666,0.32287613,0.963952,54,27.89888889,2945.29,1.95500285,448,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,POST - JUNE SNEAK PEAK,1457.84,265313,5.49479294,2709,0.53814692,1.02105815,137,10.64116788,4715.62,3.23466224,333,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs,BROAD 18-45,Shopify Dynamic Facebook Ads Product Set - Sales,1453.33,295270,4.92203746,2299,0.63215746,0.77860941,140,10.38092857,5249.35,3.61194636,292,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,Video - Unboxing – Copy 2,1404.77,384325,3.65516165,5401,0.26009443,1.40532102,56,25.08517857,2947.7,2.09835062,435,2024-01-01,2024-12-31
Instagram post: The story behind my brand Unndr...,Instagram Post,Instagram post: The story behind my brand Unndr...,1389.62,287295,4.8369098,23072,0.06022972,8.03076977,10,138.962,263.5,0.18962018,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,VID - SUBSCRIPTION BOX - V2 - 389185397229947 – Copy,1366.14,180828,7.55491406,1054,1.29614801,0.58287433,125,10.92912,5425.31,3.97126942,254,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,VID - IT'S MONTHLY ME TIME - V2 - 365088586306295,1359.09,433969,3.13176748,4038,0.33657504,0.93048121,121,11.23214876,5046.31,3.7130065,505,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Interest: Lingerie & Stores,Video - Reason I started Unndr,1343.43,286168,4.69455005,2283,0.58844941,0.79778312,47,28.58361702,2208.85,1.64418689,275,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS  Campaign - UK (SW for filters)),PN | ADVANTAGE PLUS  Ad Set,VID - DONT SLEEP ON SMALL DETAILS - V3 - 394090130072807,1301.25,279095,4.66239094,2137,0.60891437,0.7656891,116,11.21767241,3903.2,2.99957733,191,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL CL 1-3%,IMG COLL - V1 – Copy,1254.48,260473,4.81616137,1843,0.68067282,0.70755894,168,7.46714286,5653.1,4.50632932,162,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,POST - JUNE SNEAK PEAK,1083.92,367111,2.95256748,3946,0.27468829,1.07487926,57,19.01614035,2997.56,2.76548085,332,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,VID - WE TOOK LINGERIE - V2 - 365088676306286,1077.70,345299,3.12106319,5067,0.21268995,1.46742388,114,9.45350877,5332.75,4.94826946,584,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,PURCH LAL 5%,IMG COLL - V1 – Copy,1063.68,208817,5.09383815,1707,0.6231283,0.81746218,188,5.65787234,5838.95,5.48938591,213,2024-01-01,2024-12-31
PN | CREATIVE TESTING,BROAD - FEMALE 18 - 45 (UK) – MARCH BOX,VID - MARCH BOX - V2 - 380323738116113 – Copy,1021.77,215269,4.74647999,1379,0.74094996,0.64059386,139,7.35086331,5051.4,4.94377404,217,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,A+ ENG LAL 1-3%,POST - NO SUBSCRIPTION BEFORE US - V1 - 432116986270121 – Copy,983.17,244123,4.02735506,1548,0.63512274,0.63410658,36,27.31027778,1199.35,1.21988059,115,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,VID - APRIL BOX - V1 - 400480282767125,967.97,152417,6.35080076,1402,0.69042083,0.9198449,92,10.52141304,2980.06,3.07866979,137,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs,Beauty Interest - UK,Shopify Dynamic Facebook Ads Product Set - Sales,940.42,190490,4.93684708,1392,0.67558908,0.73074702,93,10.11204301,3779.4,4.01884264,190,2024-01-01,2024-12-31
Instagram post: Can the girls believe?! It’s...,Instagram Post,Instagram post: Can the girls believe?! It’s...,923.75,150355,6.14379302,7410,0.12466262,4.92833627,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: BEAUTY,VID - YOU NEVER RUN OUT OF LINGERIE - V5 - 365091696305984 – Copy,914.19,220802,4.14031576,1307,0.69945677,0.59193304,171,5.34614035,5234.63,5.725976,187,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,Interest: Lingerie & Stores | CPR Cap 25,VID - WE TOOK LINGERIE - V2 - 365088676306286 – Copy,914.17,219193,4.17061676,1598,0.57207134,0.72903788,157,5.82273885,5105,5.58430051,224,2024-01-01,2024-12-31
PN | CREATIVE TESTING,BROAD - FEMALE 18 - 45 (EU) – MARCH BOX,VID - MARCH BOX - V2 - 380323738116113 – Copy 2,913.72,421935,2.16554683,4507,0.20273353,1.06817401,78,11.71435897,3299.74,3.61132513,563,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,Interest: Lingerie & Stores | CPR Cap 25,VID - FEB LINGERIE - V1 - 365090829639404 – Copy,912.92,207695,4.39548376,942,0.96912951,0.45354968,128,7.1321875,3952.75,4.32978793,155,2024-01-01,2024-12-31
Instagram post: It’s sometimes hard to find a...,Instagram Post,Instagram post: It’s sometimes hard to find a...,854.79,330676,2.58497744,8090,0.10566007,2.44650353,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,POST - NO SUBSCRIPTION BEFORE US - V1 - 432116986270121,851.98,307981,2.76633948,2777,0.3067987,0.901679,28,30.42785714,1246.4,1.46294514,190,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,BROAD - FEMALE - 18-45,VID - DONT SLEEP ON SMALL DETAILS - V3 - 394090130072807 – Copy,849.76,335613,2.5319639,3480,0.24418391,1.03690858,57,14.90807018,2811.98,3.30914611,397,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,Interest: Lingerie & Stores | CPR Cap 25,VID - SUBSCRIPTION BOX - V2 - 389185397229947 – Copy,847.57,123635,6.8554212,731,1.15946648,0.59125652,89,9.52325843,2781.95,3.28226577,103,2024-01-01,2024-12-31
Instagram post: An insight into our monthly...,Instagram Post,Instagram post: An insight into our monthly...,840.00,245442,3.42239714,8459,0.09930252,3.44643541,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,Video - Unboxing – Copy,837.14,83433,10.03367972,1439,0.58175122,1.72473721,25,33.4856,1645.59,1.96572855,202,2024-01-01,2024-12-31
PN | CREATIVE TESTING,BROAD - FEMALE 18 - 45 (UK) – FEB POST – v2,IMG - FEB POST CAROUSEL - SUBSCRIPTION LP,833.96,188413,4.42623386,780,1.06917949,0.41398417,95,8.77852632,3283,3.93663965,112,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45,POST - APRIL BOX – Copy,802.12,135981,5.89876527,684,1.17269006,0.50301145,148,5.41972973,4584.71,5.71574079,93,2024-01-01,2024-12-31
Instagram post: Have the girls been leaked an...,Instagram Post,Instagram post: Have the girls been leaked an...,780.99,121864,6.4087015,8283,0.0942883,6.79692116,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,Interest: Lingerie & Stores | CPR Cap 25,IMG COLL - V1 – Copy,774.10,157435,4.91694985,1224,0.63243464,0.77746372,107,7.23457944,3660.3,4.72845886,120,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45,IMG COLL - V1 – Copy,770.92,159756,4.82560905,1373,0.5614858,0.85943564,181,4.25922652,5763.38,7.47597676,180,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL CL 1-3%,CAROUSEL 1 - V4 – Copy,730.94,133431,5.47803734,601,1.21620632,0.45042007,107,6.83121495,3610.2,4.93911949,141,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL Purchases | CPR Cap 25,POST - NO SUBSCRIPTION BEFORE US - V1 - 432116986270121 – Copy 2,715.06,175701,4.06975487,1103,0.64828649,0.62777104,22,32.50272727,840.25,1.17507622,74,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,Carousel - July Set - Undisclosed Secret,693.69,127933,5.42229136,644,1.07715839,0.50338849,30,23.123,1461.02,2.10615693,111,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,VID - YOU NEVER RUN OUT OF LINGERIE - V5 - 365091696305984,684.69,126700,5.40402526,1403,0.48801853,1.10734017,62,11.0433871,2229.74,3.25656867,143,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Advantage Plus (Exc. Existing Customers),Static - Flatlay - Nov – Copy,683.20,136085,5.02039167,1793,0.38103737,1.31755888,34,20.09411765,1786.36,2.61469555,169,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: BEAUTY,VID - FEB LINGERIE - V1 - 365090829639404 – Copy,669.74,163105,4.10618926,835,0.80208383,0.51194016,95,7.04989474,2963.2,4.4244035,124,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - ENG LAL 1-3%,POST - BEST SET,665.47,266903,2.49330281,1224,0.54368464,0.45859357,23,28.93347826,1266.83,1.90366207,147,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS  Campaign - UK (SW for filters)),PN | ADVANTAGE PLUS  Ad Set,VID - YOU NEVER RUN OUT OF LINGERIE - V5 - 365091696305984,664.86,147497,4.5076171,1036,0.64175676,0.70238717,108,6.15611111,3771.85,5.67314923,155,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45,VID - POV 2 - V3 - 394090090072811 – Copy,649.35,133780,4.85386455,662,0.98089124,0.49484228,37,17.55,1367.45,2.10587511,71,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Advantage Plus (Exc. Existing Customers),Carousel - Dynamic,639.17,112813,5.66574774,2158,0.29618628,1.91290011,25,25.5668,1087,1.70064302,126,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45,POST - FOUND UNNDR - V4 - 414320111383142 – Copy,620.95,153513,4.04493431,935,0.66411765,0.60906894,34,18.26323529,1130.1,1.8199533,66,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,BROAD - FEMALE - 18-45,POST - FOUND UNNDR - V4 - 414320111383142 – Copy,603.77,260655,2.31635687,3017,0.20012264,1.15746868,36,16.77138889,1398.47,2.31622969,247,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,VID - FEB LINGERIE - V1 - 365090829639404,603.20,243551,2.47668866,2150,0.28055814,0.88277199,57,10.58245614,2622.71,4.34799403,301,2024-01-01,2024-12-31
Instagram post: We are all about self love around...,Instagram Post,Instagram post: We are all about self love around...,600.00,118441,5.06581336,5956,0.10073875,5.02866406,,,,,,2024-01-01,2024-12-31
