Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,25-34,active,ad,4832,5860,1.21274834,7-day click or 1-day view,quoteReceived,5,44.49,8.898,09/05/2024,30/04/2025,32,1.3903125,7.59215017,1.82593857,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,35-44,active,ad,4704,5427,1.15369898,7-day click or 1-day view,quoteReceived,5,51.85,10.37,09/05/2024,30/04/2025,35,1.48142857,9.55408144,1.86106505,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,25-34,active,ad,552,567,1.02717391,7-day click or 1-day view,,,3.76,,09/05/2024,30/04/2025,1,3.76,6.6313933,1.2345679,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,25-34,active,ad,489,557,1.1390593,7-day click or 1-day view,quoteReceived,2,5.03,2.515,09/05/2024,30/04/2025,5,1.006,9.03052065,1.79533214,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,25-34,inactive,ad,464,500,1.07758621,7-day click or 1-day view,,,3.87,,09/05/2024,30/04/2025,2,1.935,7.74,1,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,18-24,active,ad,460,475,1.0326087,7-day click or 1-day view,,,2.29,,09/05/2024,30/04/2025,2,1.145,4.82105263,1.26315789,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,35-44,inactive,ad,402,454,1.12935323,7-day click or 1-day view,,,4.34,,09/05/2024,30/04/2025,1,4.34,9.55947137,1.10132159,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,35-44,active,ad,420,445,1.05952381,7-day click or 1-day view,,,3.95,,09/05/2024,30/04/2025,4,0.9875,8.87640449,2.47191011,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,35-44,active,ad,342,394,1.15204678,7-day click or 1-day view,,,5.67,,09/05/2024,30/04/2025,,,14.39086294,0.50761421,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,35-44,active,ad,334,379,1.13473054,7-day click or 1-day view,quoteReceived,3,4.25,1.41666667,09/05/2024,30/04/2025,7,0.60714286,11.21372032,2.90237467,30/03/2025,05/04/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,25-34,active,ad,283,328,1.1590106,7-day click or 1-day view,,,3.41,,09/05/2024,30/04/2025,2,1.705,10.39634146,0.6097561,30/03/2025,05/04/2025
