"Campaign name","Ad set name","Ad name",Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result Type",Results,"Amount spent (GBP)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Reporting starts","Reporting ends"
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,35-44,active,ad,4588,5445,1.18679163,"7-day click or 1-day view",quoteReceived,3,53.26,17.75333333,2024-05-09,2025-04-30,34,1.56647059,9.78145087,1.61616162,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,25-34,active,ad,4388,5316,1.21148587,"7-day click or 1-day view",quoteReceived,4,39.78,9.945,2024-05-09,2025-04-30,26,1.53,7.48306998,1.52370203,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,25-34,active,ad,3534,4701,1.33022071,"7-day click or 1-day view",quoteReceived,5,37.71,7.542,2024-05-09,2025-04-30,17,2.21823529,8.02169751,1.16996384,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,35-44,active,ad,2998,3892,1.2981988,"7-day click or 1-day view",quoteReceived,3,39.91,13.30333333,2024-05-09,2025-04-30,31,1.28741935,10.25436793,1.43884892,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,25-34,active,ad,992,1268,1.27822581,"7-day click or 1-day view",quoteReceived,1,10.52,10.52,2024-05-09,2025-04-30,8,1.315,8.29652997,1.10410095,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,35-44,active,ad,884,1123,1.27036199,"7-day click or 1-day view",quoteReceived,2,10.47,5.235,2024-05-09,2025-04-30,14,0.74785714,9.32324132,2.22617988,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,25-34,active,ad,756,859,1.13624339,"7-day click or 1-day view",,,6.13,,2024-05-09,2025-04-30,3,2.04333333,7.13620489,1.39697322,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,35-44,active,ad,776,837,1.07860825,"7-day click or 1-day view",quoteReceived,3,7.13,2.37666667,2024-05-09,2025-04-30,9,0.79222222,8.51851852,2.03106332,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,25-34,inactive,ad,293,337,1.15017065,"7-day click or 1-day view",,,2.59,,2024-05-09,2025-04-30,,,7.68545994,0.59347181,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,18-24,active,ad,266,335,1.2593985,"7-day click or 1-day view",,,1.9,,2024-05-09,2025-04-30,,,5.67164179,1.19402985,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,45-54,active,ad,300,328,1.09333333,"7-day click or 1-day view",,,3.69,,2024-05-09,2025-04-30,2,1.845,11.25,1.52439024,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,35-44,inactive,ad,275,316,1.14909091,"7-day click or 1-day view",,,3.07,,2024-05-09,2025-04-30,3,1.02333333,9.71518987,0.63291139,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,female,18-24,active,ad,264,310,1.17424242,"7-day click or 1-day view",quoteReceived,1,1.9,1.9,2024-05-09,2025-04-30,3,0.63333333,6.12903226,3.5483871,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,45-54,active,ad,188,260,1.38297872,"7-day click or 1-day view",,,2.89,,2024-05-09,2025-04-30,1,2.89,11.11538462,0.38461538,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,25-34,active,ad,156,200,1.28205128,"7-day click or 1-day view",,,1.1,,2024-05-09,2025-04-30,1,1.1,5.5,1.5,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,35-44,active,ad,128,172,1.34375,"7-day click or 1-day view",,,1.51,,2024-05-09,2025-04-30,,,8.77906977,0.58139535,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,18-24,active,ad,128,148,1.15625,"7-day click or 1-day view",,,1.01,,2024-05-09,2025-04-30,,,6.82432432,2.02702703,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,25-34,active,ad,88,142,1.61363636,"7-day click or 1-day view",,,1.03,,2024-05-09,2025-04-30,1,1.03,7.25352113,1.4084507,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,35-44,active,ad,94,128,1.36170213,"7-day click or 1-day view",,,1.15,,2024-05-09,2025-04-30,1,1.15,8.984375,0.78125,2025-04-06,2025-04-12
