,encoder_type,mapping
age,label,"{'18-24': 0, '25-34': 1, '35-44': 2, '45-54': 3, '55-64': 4, '65+': 5, 'unknown': 6}"
gender,label,"{'female': 0, 'male': 1, 'unknown': 2}"
delivery_status,label,"{'active': 0, 'inactive': 1, 'not_delivering': 2}"
delivery_level,drop,
attribution_setting,drop,
result_type,label,"{'actions:visit_instagram_profile': 0, 'linkclicks': 1, 'metaleads': 2, 'none': 3, 'quotereceived': 4}"
starts,label,"{'2024-05-08': 0, '2024-05-09': 1, '2024-07-01': 2, '2024-11-07': 3, '2024-12-17': 4, '2025-01-09': 5, '2025-03-02': 6}"
ends,label,"{'2024-06-16': 0, '2024-10-31': 1, '2024-12-22': 2, '2024-12-30': 3, '2025-04-30': 4, 'ongoing': 5}"
reporting_starts,drop,
reporting_ends,drop,
campaign_location,label,"{'ldn': 0, 'loc': 1}"
campaign_date,label,"{'01.10': 0, '01.11': 1, '02.04': 2, '09.01': 3, '15.08': 4, '17.12': 5}"
campaign_funnel,label,"{'mid': 0, 'upp': 1}"
campaign_goal,label,"{'baw': 0, 'prs': 1, 'rtg': 2, 'tfk': 3}"
campaign_tactic,label,"{'clicks': 0, 'fan': 1, 'leads': 2, 'quote': 3}"
campaign_description,label,"{'all-cold': 0, 'all-crowdf': 1, 'all-form': 2, 'all-igfollower': 3, 'all-islington&southwark&hackney': 4, 'all-warm': 5, 'all-webv': 6}"
adset_location,label,"{'hackney': 0, 'islington': 1, 'ldn': 2, 'southwark': 3}"
adset_gender,drop,
adset_age,label,"{'18-45': 0, '18-55': 1, '18-65+': 2}"
adset_audiencesegment,label,"{'broad': 0, 'cold': 1, 'interest': 2, 'lal': 3, 'rtg': 4, 'warm': 5}"
adset_audiencedetail,label,"{'broad': 0, 'followers&websitevisitors': 1, 'ig': 2, 'igengagers&webvisit': 3, 'igfollowers&engagers': 4, 'igfollowers&engagers&webv': 5, 'varioustrades': 6, 'websitevisitors&crmlist': 7, 'webvisitors&crm': 8}"
adset_platform,label,"{'all': 0, 'ig': 1}"
adset_placement,label,"{'all': 0, 'all–newdaily': 1, 'none': 2}"
ad_service,frequency,"{'gen': 0.44181585677749363, 'ugc': 0.20012787723785166, 'plum': 0.05115089514066496, 'hack-plum': 0.030690537084398978, 'isl-plum': 0.030051150895140665, 'hack-elec': 0.02877237851662404, 'isl-elec': 0.023017902813299233, 'crowd': 0.023017902813299233, 'stw-elec': 0.021739130434782608, 'stw-plum': 0.021739130434782608, 'hack-gas': 0.01918158567774936, 'isl-gas': 0.017902813299232736, 'heat': 0.015345268542199489, 'aware': 0.015345268542199489, 'elec': 0.015345268542199489, 'isl-boil': 0.012148337595907928, 'stw-boil': 0.010869565217391304, 'stw-gas': 0.010869565217391304, 'hack-boil': 0.010869565217391304}"
ad_format,drop,
ad_assettype,label,"{'img': 0, 'vid': 1}"
ad_description,frequency,"{'clip1': 0.08184143222506395, 'tradeplaces': 0.07289002557544758, 'clip3': 0.06905370843989769, 'cta_purple_bulb': 0.06010230179028133, 'greentextonly': 0.058823529411764705, 'review_tap_plummer': 0.05754475703324808, 'christmas': 0.049872122762148335, 'introvideo': 0.043478260869565216, 'purple_cta_bulb': 0.04283887468030691, 'reviews': 0.04028132992327366, 'beige_cta_spanner': 0.04028132992327366, 'green_cta_tap': 0.034526854219948847, 'beige_gas': 0.03388746803069054, 'green_cta_boiler': 0.03388746803069054, 'jobdone_sink_purple_cta': 0.026214833759590793, 'green_cta': 0.024936061381074168, 'green_bulb': 0.023017902813299233, 'invest': 0.023017902813299233, 'purple_sink': 0.021739130434782608, 'clip4': 0.0159846547314578, 'sitting': 0.015345268542199489, 'pridemonth': 0.015345268542199489, 'cta_fixingheating': 0.015345268542199489, 'clip4–copy': 0.012148337595907928, 'tradeplacesh': 0.011508951406649617, 'purple_cta_sink': 0.011508951406649617, 'clip3–copy': 0.010869565217391304, 'clip1–copy': 0.010230179028132993, 'green_cta_bulb': 0.00959079283887468, 'greentextonly–copy': 0.005754475703324808, 'backwomen': 0.005754475703324808, 'review_tap_plummer–copy': 0.005754475703324808, 'introvideo–copy': 0.005754475703324808, 'tradeplacess': 0.0038363171355498722, 'tradeplacesi': 0.0038363171355498722, 'reviews–copy': 0.00319693094629156}"
