Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,female,25-34,not_delivering,ad,9055,16029,1.77018222,7-day click or 1-day view,Link clicks,144,49.93385707,0.3467629,17/12/2024,Ongoing,144,0.3467629,3.11521973,0.93580386,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,25-34,not_delivering,ad,7799,13702,1.75689191,7-day click or 1-day view,Link clicks,99,41.42490385,0.41843337,17/12/2024,Ongoing,99,0.41843337,3.02327426,0.7809079,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,18-24,not_delivering,ad,6735,12591,1.86948775,7-day click or 1-day view,Link clicks,85,32.62598631,0.38383513,17/12/2024,Ongoing,85,0.38383513,2.59121486,0.72273846,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,female,18-24,not_delivering,ad,6695,11936,1.782823,7-day click or 1-day view,Link clicks,81,31.03618189,0.38316274,17/12/2024,Ongoing,81,0.38316274,2.60021631,0.76239946,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,female,35-44,inactive,ad,3369,8568,2.54318789,7-day click or 1-day view,quoteReceived,7,108.0359546,15.4337078,09/05/2024,30/04/2025,52,2.07761451,12.6092384,1.4589169,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,female,25-34,inactive,ad,3049,7872,2.58183011,7-day click or 1-day view,quoteReceived,6,84.67115487,14.11185915,09/05/2024,30/04/2025,40,2.11677887,10.7559902,1.37195122,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,female,35-44,not_delivering,ad,4231,6979,1.64949185,7-day click or 1-day view,Link clicks,54,22.32725327,0.41346765,17/12/2024,Ongoing,54,0.41346765,3.19920523,0.78807852,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,female,25-34,inactive,ad,3335,6578,1.97241379,7-day click or 1-day view,quoteReceived,8,57.15090909,7.14386364,09/05/2024,30/04/2025,27,2.11670034,8.68818928,1.03374886,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,female,35-44,inactive,ad,2531,4756,1.87909917,7-day click or 1-day view,quoteReceived,2,50.70531784,25.35265892,09/05/2024,30/04/2025,30,1.69017726,10.6613368,1.05130362,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,male,35-44,not_delivering,ad,2584,4201,1.62577399,7-day click or 1-day view,Link clicks,37,17.56783878,0.47480645,17/12/2024,Ongoing,37,0.47480645,4.18182308,0.95215425,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,female,25-34,inactive,ad,2347,3817,1.62633149,7-day click or 1-day view,quoteReceived,5,42.39362981,8.47872596,09/05/2024,30/04/2025,25,1.69574519,11.10653126,1.57191512,01/01/2025,31/01/2025
