Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,25-34,female,inactive,ad,46370,83136,1.79288333,7-day click or 1-day view,quoteReceived,39,618.69,15.86,2024-05-09,2024-12-22,281,2.20172887,7.44185205,0.99836413,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,25-34,female,not_delivering,ad,48362,87271,1.80453662,7-day click or 1-day view,quoteReceived,38,548.71,14.44,2024-05-09,2024-10-31,264,2.07843767,6.28739839,0.79751578,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,35-44,female,inactive,ad,24961,42207,1.69091783,7-day click or 1-day view,quoteReceived,18,402.15,22.34,2024-05-09,2024-12-22,174,2.31122574,9.52811804,0.99272633,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,25-34,female,not_delivering,ad,38045,74399,1.95555264,7-day click or 1-day view,actions:visit_instagram_profile,3599,398.62,0.11,2024-05-08,2024-12-30,3612,0.11035971,5.35785788,4.84549524,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,25-34,female,inactive,ad,9102,31349,3.44418809,7-day click or 1-day view,quoteReceived,36,347.45,9.65,2024-05-09,2025-04-30,237,1.46604972,11.08340887,2.38285113,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,18-24,female,not_delivering,ad,32701,72778,2.22555885,7-day click or 1-day view,actions:visit_instagram_profile,3100,335.49,0.11,2024-05-08,2024-12-30,3115,0.10770277,4.609829,4.28563577,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlaces,35-44,female,inactive,ad,6695,21721,3.24436146,7-day click or 1-day view,quoteReceived,45,331.08,7.36,2024-05-09,2025-04-30,221,1.49809621,15.24235816,2.18221997,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,35-44,female,inactive,ad,6782,24497,3.61206134,7-day click or 1-day view,quoteReceived,16,315.56,19.72,2024-05-09,2025-04-30,153,2.06250912,12.88173637,1.39200718,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|green_cta,35-44,female,inactive,ad,9066,31928,3.52172954,7-day click or 1-day view,quoteReceived,24,310.92,12.96,2024-05-09,2025-04-30,272,1.14309161,9.73818965,1.50964671,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,35-44,female,active,ad,13088,28768,2.19804401,7-day click or 1-day view,quoteReceived,15,292.49,19.50,2024-05-09,2025-04-30,144,2.03121205,10.16735732,1.3035317,2024-04-01,2025-04-20
