age,gender,delivery_status,reach,impressions,frequency,result_type,results,amount_spent_(gbp),starts,ends,campaign_location,campaign_date,campaign_funnel,campaign_goal,campaign_tactic,campaign_description,adset_location,adset_age,adset_audiencesegment,adset_audiencedetail,adset_platform,adset_placement,ad_service,ad_assettype,ad_description
1,0,1,46370,83136,1.79288333,4,39.0,618.69,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.023017902813299233,0,0.04283887468030691
1,0,2,48362,87271,1.80453662,4,38.0,548.71,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.021739130434782608,0,0.04283887468030691
2,0,1,24961,42207,1.69091783,4,18.0,402.15,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.023017902813299233,0,0.04283887468030691
1,0,2,38045,74399,1.95555264,0,3599.0,398.62,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.44181585677749363,1,0.07289002557544758
1,0,1,9102,31349,3.44418809,4,36.0,347.45,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
0,0,2,32701,72778,2.22555885,0,3100.0,335.49,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.44181585677749363,1,0.07289002557544758
2,0,1,6695,21721,3.24436146,4,45.0,331.08,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
2,0,1,6782,24497,3.61206134,4,16.0,315.56,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.04028132992327366
2,0,1,9066,31928,3.52172954,4,24.0,310.92,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.024936061381074168
2,0,2,23261,39234,1.68668587,4,24.0,284.18,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.021739130434782608,0,0.04283887468030691
1,0,2,16691,25296,1.5155473,4,21.0,272.86,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
1,0,1,10723,36671,3.41984519,4,15.0,264.98,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.024936061381074168
2,0,2,10850,17150,1.58064516,4,25.0,247.9,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
2,0,0,10049,22872,2.27604737,4,11.0,236.05,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.05115089514066496,0,0.015345268542199489
1,0,1,9367,22825,2.43674602,4,27.0,231.37,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.44181585677749363,1,0.011508951406649617
1,0,1,6385,19827,3.10524667,4,16.0,208.19,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.04028132992327366
1,0,0,11497,25960,2.25798034,4,19.0,194.36,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.05115089514066496,0,0.015345268542199489
2,0,2,5516,14698,2.66461204,4,9.0,173.21,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.023017902813299233
3,0,1,5336,8218,1.54010495,2,61.0,171.6,2,2,0,0,1,1,2,2,2,1,1,0,1,0,0.44181585677749363,1,0.07289002557544758
2,0,1,4376,10649,2.43350091,4,6.0,170.12,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.44181585677749363,1,0.011508951406649617
2,0,1,4698,11280,2.40102171,4,14.0,169.8,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.06905370843989769
2,0,1,7176,10916,1.52118172,2,73.0,167.39,2,2,0,0,1,1,2,2,2,1,1,0,1,0,0.44181585677749363,1,0.07289002557544758
1,0,2,6952,17232,2.47871116,4,10.0,151.01,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.023017902813299233
3,0,1,8224,12208,1.4844358,4,6.0,143.67,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.023017902813299233,0,0.04283887468030691
1,0,1,6485,16533,2.54942174,4,14.0,142.34,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.058823529411764705
3,0,1,3393,11045,3.25523136,4,13.0,141.99,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.024936061381074168
1,0,2,11453,16887,1.47446084,4,10.0,140.68,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.030051150895140665,0,0.021739130434782608
1,0,1,5418,12224,2.25618309,4,13.0,139.37,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.06905370843989769
1,1,2,13407,22714,1.6941896,0,1160.0,138.23,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.44181585677749363,1,0.07289002557544758
2,0,1,5000,12725,2.545,4,6.0,132.36,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.058823529411764705
3,0,1,2705,8188,3.02698706,4,14.0,128.72,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.04028132992327366
1,0,1,8088,12336,1.52522255,2,47.0,125.68,2,2,0,0,1,1,2,2,2,1,1,0,1,0,0.44181585677749363,1,0.07289002557544758
3,0,2,4401,6294,1.43012952,4,8.0,121.69,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
2,0,1,4414,10162,2.30222021,4,9.0,120.97,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.06010230179028133
3,0,1,2400,6126,2.5525,4,10.0,119.73,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
1,0,2,13006,31859,2.44956174,1,264.0,115.5,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
0,0,1,10689,19518,1.82598933,4,2.0,106.94,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.023017902813299233,0,0.04283887468030691
2,0,2,7918,10816,1.36600152,4,12.0,105.89,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.030051150895140665,0,0.021739130434782608
1,0,2,14669,18960,1.29252164,0,938.0,105.22,0,3,0,0,1,0,1,3,2,1,2,6,1,0,0.44181585677749363,1,0.07289002557544758
4,0,1,2744,4249,1.54846939,2,41.0,99.82,2,2,0,0,1,1,2,2,2,1,1,0,1,0,0.44181585677749363,1,0.07289002557544758
1,0,1,4494,10038,2.23364486,4,5.0,98.25,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.06010230179028133
0,1,2,9247,18283,1.97718179,0,817.0,96.17,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.44181585677749363,1,0.07289002557544758
1,0,1,6327,8210,1.2976134,4,3.0,94.3,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
1,0,1,10852,13681,1.26068927,4,2.0,94.02,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.021739130434782608,0,0.034526854219948847
2,0,1,4672,6076,1.3005137,4,4.0,93.91,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
1,0,0,5730,11747,2.05008726,4,11.0,93.25,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.015345268542199489,0,0.015345268542199489
1,0,2,12180,15557,1.2772578,4,10.0,92.74,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.030051150895140665,0,0.034526854219948847
1,0,1,7218,15558,2.15544472,4,6.0,90.98,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.04283887468030691
2,0,0,4427,8944,2.02032979,4,7.0,90.98,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.015345268542199489,0,0.015345268542199489
1,1,2,10094,25618,2.53794333,1,195.0,90.68,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
3,0,2,2324,6444,2.77280551,4,13.0,88.88,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.023017902813299233
2,0,1,4362,8515,1.9520862,4,10.0,88.64,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.05115089514066496,0,0.05754475703324808
1,0,1,5510,10657,1.93411978,4,8.0,87.23,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.05115089514066496,0,0.05754475703324808
2,0,1,4082,7659,1.87628613,4,7.0,87.16,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.026214833759590793
3,0,2,6143,9564,1.55689403,4,5.0,80.5,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.021739130434782608,0,0.04283887468030691
1,0,1,6836,8131,1.18943827,4,2.0,79.55,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.44181585677749363,1,0.0038363171355498722
0,0,2,9982,24534,2.45782408,1,180.0,77.93,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
0,0,2,9135,15532,1.70027367,4,3.0,77.55,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.021739130434782608,0,0.04283887468030691
2,0,1,2801,5313,1.89682256,4,4.0,77.46,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.08184143222506395
4,0,1,3488,5517,1.58170872,4,5.0,76.79,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.023017902813299233,0,0.04283887468030691
0,1,2,9918,25148,2.53559185,1,172.0,76.17,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
1,0,1,4618,8573,1.85643136,4,9.0,75.71,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.026214833759590793
2,0,1,6678,9242,1.38394729,4,1.0,73.95,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.021739130434782608,0,0.034526854219948847
4,0,2,2384,3123,1.30998322,4,8.0,73.27,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
0,0,2,7537,11427,1.51612047,1,662.0,70.0,3,2,0,1,0,3,0,6,2,1,0,2,0,2,0.44181585677749363,1,0.07289002557544758
1,1,2,5880,7927,1.34812925,1,729.0,69.77,3,2,0,1,0,3,0,6,2,1,0,2,0,2,0.44181585677749363,1,0.07289002557544758
1,1,2,4033,5354,1.32754773,4,6.0,68.48,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
2,0,1,4385,9197,2.09737742,4,5.0,68.32,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.04283887468030691
2,1,2,3185,4266,1.33940345,4,15.0,67.93,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
0,0,2,11244,15392,1.36890786,0,652.0,67.67,0,3,0,0,1,0,1,3,2,1,2,6,1,0,0.44181585677749363,1,0.07289002557544758
3,0,1,1600,3151,1.969375,4,3.0,66.21,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.44181585677749363,1,0.011508951406649617
3,0,1,1549,3591,2.31826985,4,2.0,65.88,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.06905370843989769
2,0,0,1996,4328,2.16833667,4,10.0,65.79,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.043478260869565216
2,0,2,6464,10255,1.58647896,0,578.0,65.62,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.44181585677749363,1,0.07289002557544758
0,1,2,5440,8931,1.64172794,1,679.0,63.18,3,2,0,1,0,3,0,6,2,1,0,2,0,2,0.44181585677749363,1,0.07289002557544758
1,0,2,5768,7919,1.37291956,1,585.0,61.83,3,2,0,1,0,3,0,6,2,1,0,2,0,2,0.44181585677749363,1,0.07289002557544758
1,0,1,2879,5376,1.86731504,4,6.0,60.49,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.08184143222506395
2,0,1,3860,4556,1.18031088,4,5.0,60.21,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.44181585677749363,1,0.0038363171355498722
1,0,1,5183,6035,1.16438356,4,5.0,58.27,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.44181585677749363,1,0.0038363171355498722
1,0,2,3336,6437,1.92955635,4,6.0,58.0,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.030690537084398978,0,0.011508951406649617
2,0,2,6143,14729,2.39768843,1,132.0,55.56,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
4,0,1,888,2249,2.53265766,4,6.0,54.7,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
2,0,2,6134,7855,1.28056733,4,4.0,53.25,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.030051150895140665,0,0.034526854219948847
2,0,2,2280,4419,1.93815789,4,5.0,52.9,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.030690537084398978,0,0.011508951406649617
